Title;Price(Kč/1000g);Country;Variety;Altitude;Processing;Taste;BIO
MEXICO CHAPAS zrnková káva BIO & Fair Trade;722;Mexiko;Caturra;1800;Mokré;Sladká, ovocná a ořechová;Ano
SMETANOVÁ rozpustná káva;637;Mexiko;;1350m;Mokré;Smetana;Ne
FRANCOUZSKÁ VANILKA rozpustná káva;637;Mexiko;;1350m;Vymrazování;Vanilka;Ne
ČOKOLÁDOVO - MANDLOVÁ rozpustná káva;643;Mexiko;;1350;Vymrazování;Čokoláda, mandle;Ne
OŘECHOVÁ rozpustná káva;643;Mexiko;;1350;Vymrazování;Lískový ořech;Ne
IRISH CREAM rozpustná káva;643;Mexiko;;1350;Vymrazování;Irish cream;Ne
VAJEČNÝ LIKÉR rozpustná káva;644;Mexiko;;1350m;Mokré;Vaječný likér;Ne
VIŠNĚ V RUMU zrnková káva;580;Peru;Typica;1900m;Mokré;Višeň, rum;Ne
IRISH CREAM zrnková káva;492;Peru;Typica;1900m;Mokré;Irsh cream;Ne
ČOKOLÁDOVÉ ČOČKY Grand Cru UGANDA Bundibugyo 78%;718;Uganda;;900m;;Hořká čokoláda s kořením;Ne
ČOKOLÁDOVÉ ČOČKY SUMATRA ORIGIN 72 %;455;Sumatra;;;;Hořká čokoláda;Ne
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - LÍSKOVÝ OŘÍŠEK;538;Dominikánská rep.;;;;Lískový ořech;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO;523;Dominikánská rep.;;;;Mléčná čokoláda;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - MASALA CHAI;538;Dominikánská rep.;;;;Čokoláda s masalou;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - KARAMEL;538;Dominikánská rep.;;;;Karamel;Ano
KAKAO PLEIN AROME (22/24) - kakaový prášek;675;;;;;Hořká čokoláda;Ne
KAKAOVÝ PRÁŠEK - EKVÁDOR (22/24);689;Ekvádor;;;;Výrazně kakaová;Ne
KAKAOVÝ PRÁŠEK - PERU (20/22);649;Peru;;;;Hořká čokoláda;Ne
KUBA SERRANO SUPERIOR zrnková káva;703;Kuba;Bourbon;900m;Mokré;Hoř. čoko. s tóny karam.;Ne
