ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision_1;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
1;0.1;0.034482759;0.051282051;0.3;0.103448276;0.153846154;0.2;0.068965517;0.102564103;0.5;0.172413793;0.256410256;0.5;0.172413793;0.256410256;0.5;0.172413793;0.256410256
2;0;0;0;0.1;0.04;0.057142857;0.3;0.12;0.171428571;0.2;0.08;0.114285714;0.4;0.16;0.228571429;0.4;0.16;0.228571429
3;0.1;0.111111111;0.105263158;0.4;0.444444444;0.421052632;0.2;0.222222222;0.210526316;0.4;0.444444444;0.421052632;0.6;0.666666667;0.631578947;0.7;0.777777778;0.736842105
4;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0.1;0.333333333;0.153846154;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
5;0;0;0;0.2;0.4;0.266666667;0;0;0;0;0;0;0.2;0.4;0.266666667;0.2;0.4;0.266666667
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.2;0.333333333;0.25;0.2;0.333333333;0.25;0.2;0.333333333;0.25;0.2;0.333333333;0.25
8;0.1;0.083333333;0.090909091;0.3;0.25;0.272727273;0.2;0.166666667;0.181818182;0.3;0.25;0.272727273;0.2;0.166666667;0.181818182;0.2;0.166666667;0.181818182
9;0;0;0;0.3;0.75;0.428571429;0.3;0.75;0.428571429;0.3;0.75;0.428571429;0.3;0.75;0.428571429;0.3;0.75;0.428571429
10;0.1;0.111111111;0.105263158;0.3;0.333333333;0.315789474;0.1;0.111111111;0.105263158;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316
11;0;0;0;0;0;0;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0.1;0.125;0.111111111;0.2;0.25;0.222222222
12;0;0;0;0.2;0.333333333;0.25;0;0;0;0;0;0;0.2;0.333333333;0.25;0.2;0.333333333;0.25
13;0;0;0;0.1;0.2;0.133333333;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
14;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154
15;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
16;0;0;0;0.2;0.5;0.285714286;0.2;0.5;0.285714286;0.2;0.5;0.285714286;0.3;0.75;0.428571429;0.3;0.75;0.428571429
17;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0;0;0;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
